effect,title,supports_strip,supports_matrix,requires_audio,preview_only,ui_category
ambient_dashboard,Ambient Dashboard,True,True,False,True,showcase
asteroids_game,Asteroids (Game),True,True,False,False,
audio_meter,audio_meter,True,True,False,True,utility
audio_routed_zones,audio_routed_zones,True,True,True,False,
audio_zone_eq,audio_zone_eq,True,True,True,False,
aurora,aurora,True,True,False,False,
blocks_ball_game_ino,blocks_ball_game_ino,True,True,False,False,
boids_swarm,Boids Swarm,True,True,False,True,showcase
bpm,bpm,True,True,False,False,
bpm_pulse_train,bpm_pulse_train,True,True,False,False,
breakout_game,Breakout (Game),True,True,False,False,
brians_brain,brians_brain,False,False,False,False,
call_response,call_response,True,True,True,False,
chase,chase,True,True,False,False,
clock_hhmm_digits,clock_hhmm_digits,False,False,False,False,
clock_seconds_dot,clock_seconds_dot,False,False,False,False,
color_wipe,color_wipe,True,True,False,False,
comet_storm,comet_storm,True,True,False,False,
confetti,confetti,True,True,False,False,
crystal_shards,crystal_shards,True,True,False,False,
cylon,cylon,True,True,False,False,
demo_asteroids,Asteroids (Demo),True,True,False,False,
demo_breakout,Breakout (Demo),True,True,False,False,
dna_helix,dna_helix,True,True,False,False,
electric_web,electric_web,True,True,False,False,
elementary_ca,elementary_ca,False,False,False,False,
explosion,explosion,True,True,False,False,
fade,fade,True,True,False,False,
fire,fire,True,True,False,False,
fireworks,fireworks,True,True,False,False,
force_particles,force_particles,True,True,False,False,
fractal_flame,fractal_flame,True,True,False,False,
game_of_life,Game of Life,True,True,False,False,
glitch_datamosh,glitch_datamosh,True,True,False,False,
gradient,gradient,True,True,False,False,
gravity_blobs,gravity_blobs,True,True,False,False,
hyperspace,hyperspace,True,True,False,False,
impact_ripples,impact_ripples,True,True,False,False,
juggle,juggle,True,True,False,False,
kaleidoscope,kaleidoscope,True,True,False,False,
langtons_ant,langtons_ant,False,False,False,False,
lightning,lightning,True,True,False,False,
mapping_diagnostics,mapping_diagnostics,False,False,False,False,
mariobros_clockface,mariobros_clockface,False,False,False,False,
memory_heatmap,Memory Heatmap,True,True,False,True,utility
meteor,meteor,True,True,False,False,
msgeq7_reactive_ino,msgeq7_reactive_ino,True,True,True,False,
msgeq7_visualizer_575,MSGEQ7 Visualizer (575),True,True,True,False,
neon_city,neon_city,True,True,False,False,
noise,noise,True,True,False,False,
plasma_lattice,plasma_lattice,True,True,False,False,
portal,portal,True,True,False,False,
predator_prey,Predator / Prey,True,True,False,True,showcase
pulse,pulse,True,True,False,False,
purpose_meter,purpose_meter,True,True,True,False,
rainbow,rainbow,True,True,False,False,
rainbow_wipe,rainbow_wipe,True,True,False,False,
reaction_diffusion,reaction_diffusion,True,True,False,False,
red_hat_runner,red_hat_runner,False,False,False,False,
ripple,ripple,True,True,False,False,
scanner,scanner,False,True,False,False,
section_morph_palette,section_morph_palette,False,True,False,False,
shock_chain,shock_chain,True,True,False,False,
shooter_game_ino,shooter_game_ino,True,True,False,False,
sinelon,sinelon,True,True,False,False,
snake_game,Snake (Game),True,True,False,False,
snake_game_ino,snake_game_ino,True,True,False,False,
solid,solid,True,True,False,False,
space_invaders_game,space_invaders_game,False,False,False,False,
sparkle,sparkle,True,True,False,False,
spectral_kaleidoscope_audio,spectral_kaleidoscope_audio,True,True,True,False,
spectral_ripples_14,spectral_ripples_14,True,True,True,False,
spectral_wave,spectral_wave,True,True,False,False,
spectrum_bars_stereo,spectrum_bars_stereo,True,True,True,False,
starfield,starfield,True,True,False,False,
stereo_dual_vortex,stereo_dual_vortex,False,True,True,False,
stereo_energy_field,stereo_energy_field,True,True,False,False,
strobe,strobe,True,True,False,False,
sweep,sweep,False,True,False,False,
theater_chase,theater_chase,True,True,False,False,
tilemap_sprite,tilemap_sprite,False,False,False,False,
tunnel,tunnel,True,True,False,False,
twinkle,twinkle,True,True,False,False,
volumetric_fog,volumetric_fog,True,True,False,False,
vortex_particles,vortex_particles,True,True,False,False,
wave,wave,True,True,False,False,
wipe,wipe,True,True,False,False,
